year,S_w_mm,T_spr_C,P_s_mm,SDI
1980,13.4000,5.5400,331.4000,0.2239
1981,12.7000,7.5000,419.0000,0.2273
1982,10.7000,7.0500,143.5000,0.5252
1983,41.4000,7.8600,250.9000,1.2959
1984,7.1000,6.1700,302.1000,0.1449
1985,11.9000,6.9100,441.4000,0.1863
1986,5.3000,7.1100,376.3000,0.1001
1987,15.0000,5.3900,432.0000,0.1873
1988,26.7000,5.8000,294.2000,0.5259
1989,11.5000,8.2000,226.4000,0.4163
1990,39.8000,8.4200,375.2000,0.8933
1991,7.5000,6.9800,252.1000,0.2074
1992,12.1000,7.6600,223.9000,0.4139
1993,9.3000,7.7500,287.3000,0.2509
1994,18.9000,7.0400,348.7000,0.3816
1995,12.3000,6.4300,210.9000,0.3750
1996,8.9000,7.9900,214.6000,0.3313
1997,4.2000,8.0500,300.6000,0.1124
1998,28.2000,10.2200,339.1000,0.8493
1999,28.7000,5.6700,267.8000,0.6080
2000,21.0000,7.4400,203.3000,0.7681
2001,7.6000,7.3100,210.2000,0.2643
2002,4.5000,9.4000,442.5000,0.0956
2003,6.2000,9.0100,301.4000,0.1852
2004,17.6000,7.8100,188.7000,0.7278
2005,20.4000,6.7300,340.7000,0.4026
2006,12.7000,7.1500,244.2000,0.3718
2007,16.9000,7.2100,167.6000,0.7267
2008,21.1000,9.6300,418.1000,0.4857
2009,17.3000,8.3700,236.7000,0.6111
2010,54.3000,4.6900,132.1000,1.9283
2011,8.5000,6.7500,284.6000,0.2015
2012,29.3000,7.4800,373.8000,0.5859
2013,32.3000,6.0800,365.1000,0.5375
2014,14.7000,8.9300,320.4000,0.4096
2015,36.6000,8.5200,252.4000,1.2354
2016,9.0000,8.9400,268.7000,0.2992
2017,19.9000,9.3600,389.9000,0.4775
2018,22.2000,8.7400,279.7000,0.6935
2019,32.2000,9.3700,482.5000,0.6250
